Elo	Username	W	L	T	Last update
1070	edgcfhdgj	2	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	Sorryimmanoob	2	12	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	madelinetheperson3	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	wunsen	1	6	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1069	JustAFacade	2	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	AbstractPHF	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	paxonearth	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	Low-Key-G-Mazing	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	Patar136	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1068	Old Dance Jacket	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1063	Adults Failed Me	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1062	talhu	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1061	frick42064	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1061	DiggerBob	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1059	Poyourt	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1058	CBD Abuser	2	7	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1057	beamnji	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1056	HakanBluetooth7	2	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1052	cmonmangimmeadog	1	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1051	jakakakskjkkaia	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1045	3 happy meals	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1045	probrn	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1045	StylesTheTraveler	1	4	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1045	nax30	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1045	ghostly spectrier	1	0	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1042	Gen 3 call out	1	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1042	muiboy	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1037	japa do hornete	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1036	SimpyWimpy	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1034	Destron33	1	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1031	ontario oshawott	1	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1027	VA Lanturn	1	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1017	yuhanong	1	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1009	Thefunniest_them	1	8	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	lavalord96	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	IrishHawk27	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	peachflamees	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	drhenryjekyll_hj7	0	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	mundo bita	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	Light(Healer)	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	brunocoolgamers	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	jayballester	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	D1llemma	0	8	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	ShyBAB	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	Catiwastaken	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	H Gamer Moment	0	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	Justadppplayer	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	MilesMomo	0	6	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	Chobien	0	4	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	Irish2789	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	al-my69	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	GutsBeSad	0	7	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	master trainer 2.0	0	5	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	GreenUvLight	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	schwabbelmadron	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	IrishMassacare	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	autumnite	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	AcidEmperorRain	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	7gvguvugvtuv	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	rato_xr	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	snowystrawby	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	zooki18	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	ahhh idk	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	depressedgimp	0	2	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	NecoArcSex	0	3	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)
1000	NecoArcGaming	0	1	0	Sat Jan 21 2023 08:16:40 GMT-0500 (Eastern Standard Time)

